Simulacao,Tempo_Execucao_Segundos,Media_Tempo_Cumulativa,Acuracia,Media_Acuracia_Cumulativa
1,61.767664194107056,61.767664194107056,0.9626063484470564,0.9626063484470564
2,64.10616064071655,62.936912417411804,0.964150749991458,0.9633785492192573
3,63.91941213607788,63.26441232363383,0.9636997300714115,0.9634856095033086
4,64.48434519767761,63.569395542144775,0.9629206956640585,0.9633443810434961
5,72.48168563842773,65.35185356140137,0.9639389073017391,0.9634632862951447
6,63.089781761169434,64.97484159469604,0.9634400519356272,0.9634594139018917
7,67.46261310577393,65.33023752485003,0.9646427717224177,0.9636284650191097
8,63.43619203567505,65.09348183870316,0.9629548638398195,0.9635442648716985
9,59.248000144958496,64.44398387273152,0.962968531110124,0.963480294453746
10,61.88584804534912,64.18817028999328,0.9626336829876653,0.9633956333071378
11,68.54091238975525,64.58387411724438,0.9638295691393036,0.9634350820191528
12,63.62338352203369,64.50383323431015,0.9616428058905935,0.9632857256751062
13,59.89117765426636,64.14901357430678,0.9629411965695152,0.9632592234362145
14,62.88775825500488,64.05892390864236,0.9645060990193733,0.9633482859778688
15,64.77881217002869,64.10691645940145,0.9619503194724434,0.9632550882108404
16,65.24828600883484,64.17825205624104,0.9628318584070796,0.9632286363481053
17,65.52280807495117,64.2573435867534,0.9629616974749718,0.9632129340614503
18,62.9572434425354,64.1851158009635,0.962408173027642,0.9631682251151277
19,62.74559760093689,64.10935168517263,0.9615539686336146,0.9630832642476798
20,64.0048623085022,64.10412721633911,0.962127993986401,0.9630355007346157
21,62.133623361587524,64.01029369944618,0.9636655618956504,0.9630655036470459
22,63.774482011795044,63.99957498637113,0.9630573683671029,0.963065133861594
23,62.357789278030396,63.928192999051966,0.963870570950217,0.9631001528654471
24,68.21323037147522,64.10673622290294,0.9635152219223015,0.9631174474094828
25,62.441762924194336,64.04013729095459,0.9630710356374074,0.9631155909385999
26,59.448347091674805,63.86352997559767,0.9615266340930058,0.9630544772137692
27,67.48415517807007,63.99762720531888,0.9654628079406841,0.9631436746480995
28,63.19671583175659,63.96902322769165,0.9632760446919739,0.9631484021496665
29,65.36611080169678,64.01719866127803,0.9628250247719274,0.9631372512056064
30,65.01625537872314,64.05050055185954,0.9630232001913418,0.9631334495051309
31,64.9800922870636,64.08048738202741,0.9627566884204052,0.9631212959217527
32,64.20538663864136,64.0843904837966,0.9623671712167288,0.9630977295247207
33,66.18848705291748,64.14815098589116,0.9633785492192571,0.963106239212434
34,61.97069549560547,64.08410817735336,0.9636245600847371,0.9631214839439723
35,64.79980897903442,64.1045567716871,0.9624355075682509,0.9631018846189517
36,66.21210265159607,64.16309971279568,0.9644650972084601,0.963139751635327
37,63.58917164802551,64.14758814347756,0.9637065637065637,0.9631550708804956
38,65.20858716964722,64.17550917048203,0.9625995148119042,0.9631404509839537
39,60.31143546104431,64.07643035741953,0.9623603375815766,0.9631204480762006
40,65.33948040008545,64.10800660848618,0.9611097823487204,0.9630701814330133
41,63.204983711242676,64.08598165977293,0.9635220555574537,0.9630812027531216
42,65.80817294120789,64.1269862140928,0.9617384767827246,0.9630492330871598
43,65.15185022354126,64.15082026082416,0.9633648819489528,0.9630565737583644
44,63.767937421798706,64.14211837811904,0.9634400519356272,0.9630652891714839
45,63.30244326591492,64.12345893118116,0.9619913212833566,0.9630414232184145
46,63.93178176879883,64.11929203634676,0.96184781494516,0.9630154752124741
47,64.14414310455322,64.11982078247883,0.9627225202446441,0.9630092421280523
48,61.4661021232605,64.06453497707844,0.9641029145453924,0.9630320269700801
49,65.02218747138977,64.08407890553377,0.9621621621621622,0.9630142746270614
50,59.18910312652588,63.98617938995361,0.9637817336932382,0.963029623808385
51,60.36021900177002,63.91508212744021,0.9636313937198893,0.9630414232184143
52,60.56688451766968,63.8506937118677,0.9633648819489528,0.963047643578617
53,58.964683532714844,63.75850484056293,0.9622851675949021,0.9630332572393017
54,63.97404670715332,63.762496356610896,0.9620801585403356,0.963015607263395
55,63.328585624694824,63.754607070576064,0.9633785492192571,0.963022206208047
56,66.98514819145203,63.812295304877416,0.9628318584070796,0.9630188071401725
57,59.26418495178223,63.73250389517399,0.9648341135066799,0.9630506546202867
58,67.14628171920776,63.7913621335194,0.9635562237332149,0.9630593713291303
59,61.05251145362854,63.74494093555515,0.9642600881538934,0.9630797224617534
60,65.18163800239563,63.76888588666916,0.9630573683671029,0.9630793498935092
61,64.79371976852417,63.7856864421094,0.9635767246386715,0.9630875035778561
62,68.8757221698761,63.867783792557255,0.9609184405644583,0.9630525186905432
63,64.33167934417725,63.87514721401154,0.9631052038131684,0.963053354962331
64,64.97676301002502,63.89235996082425,0.9622578330542932,0.9630409249325178
65,58.22907853126526,63.80523255421565,0.9645060990193733,0.9630634660723156
66,75.02699899673462,63.97525931849624,0.9619161512966823,0.963046082515109
67,63.34727883338928,63.96588647543494,0.96209382581064,0.9630318697284751
68,61.82855033874512,63.934455061660096,0.963030033826494,0.9630318427299166
69,65.42404747009277,63.95604335743448,0.9627771893258619,0.9630281521008723
70,62.49293041229248,63.935141743932455,0.9637680664229337,0.9630387223054732
71,59.8499276638031,63.87760351745175,0.9619093176615301,0.9630228151978121
72,65.09307026863098,63.894485000107025,0.9624765093791643,0.9630152276169974
73,62.7018780708313,63.87814791888407,0.9629206956640585,0.9630139326587379
74,61.59106755256653,63.847241427447344,0.9631872074349951,0.9630162742097685
75,63.20125985145569,63.83862833976745,0.9627020193391875,0.9630120841448274
76,58.51965260505676,63.76864181694231,0.961813646769399,0.9629963152319929
77,58.814507722854614,63.704302413122996,0.962749854785253,0.9629931144469703
78,60.571863651275635,63.66414294181726,0.9632008747052995,0.9629957780400258
79,57.41744422912598,63.58507080621357,0.9627020193391875,0.9629920595754582
80,60.3033082485199,63.5440487742424,0.9630505347319507,0.9629927905149144
81,59.12830567359924,63.48953342732088,0.9627976902313186,0.9629903818694378
82,58.09404277801514,63.42373476086593,0.9635425564629104,0.9629971157059436
83,55.506744384765625,63.328349334647854,0.9638295691393036,0.9630071452653817
84,59.78150796890259,63.2861250326747,0.9625653466361431,0.9630018857578907
85,60.12626814842224,63.24895024580114,0.9627088529743397,0.9629984383133784
86,59.3920795917511,63.20410291261451,0.9627703556907097,0.9629957861898589
87,58.91410303115845,63.1547925691495,0.9627430211501008,0.9629928808445745
88,60.79909157752991,63.128023239699274,0.9630026992858851,0.9629929924177713
89,58.418614864349365,63.075108538852646,0.9637202309768681,0.9630011636375363
90,59.334959745407104,63.03355133003659,0.9643830935866334,0.9630165184147484
