Simulacao,Tempo_Execucao_Segundos,Media_Tempo_Cumulativa,Acuracia,Media_Acuracia_Cumulativa
1,119.20708584785461,119.20708584785461,0.9589640209109236,0.9589640209109236
2,114.51119661331177,116.85914123058319,0.9601462397922574,0.9595551303515906
3,144.50253820419312,126.07360688845317,0.9604264188334984,0.9598455598455599
4,118.55755615234375,124.19459420442581,0.9591348617897291,0.9596678853316022
5,103.77445602416992,120.11056656837464,0.9601394061571052,0.9597621894967029
6,159.93868017196655,126.74858550230663,0.9607749342262617,0.9599309802849626
7,143.7200367450714,129.1730785369873,0.9611166159838727,0.9601003568133784
8,114.14887142181396,127.29505264759064,0.9599002289267776,0.9600753408275533
9,110.52214884757996,125.43139666981168,0.9596132162503844,0.9600239936523123
10,109.59083223342896,123.8473402261734,0.9594560426418833,0.9599671985512694
11,107.11250352859497,122.32599143548445,0.9599412307376909,0.9599648378409441
12,149.34305810928345,124.57741365830104,0.9597772234940376,0.9599492033120353
13,115.1594648361206,123.85295605659485,0.9591690299654901,0.9598891899776857
14,144.3326873779297,125.31579400811877,0.9608296033074795,0.9599563623583852
15,109.4308488368988,124.25679766337076,0.9590733590733591,0.9598974954727169
16,115.89902806282043,123.73443706333637,0.9592715344927735,0.9598583729114702
17,122.90574812889099,123.68569065542782,0.9590801927085113,0.9598125976054139
18,109.22351861000061,122.88223665290408,0.9590596918030546,0.9597707695052828
19,112.23359251022339,122.32178169802616,0.958260156490245,0.959691263557123
20,109.3759081363678,121.67448801994324,0.9591143608842724,0.9596624184234803
21,105.08282375335693,120.88440876915341,0.9594492090067311,0.9596522655941113
22,109.20097947120667,120.35334380106492,0.9594697099121878,0.9596439676085694
23,121.86243939399719,120.41895665293154,0.9601052379813442,0.9596640228421683
24,121.30639362335205,120.45593319336574,0.9597088871425155,0.9596658921880161
25,117.31821942329407,120.33042464256286,0.9598455598455599,0.959673078894318
26,116.3569324016571,120.17759801791264,0.9584651655448115,0.9596266206885677
