ite,Acuracia,tExecS,MediaAcCumulativa,MediaTCumulativa
1,0.9966925205863258,4.733926296234131,0.9966925205863258,4.733926296234131
2,0.9964601769911504,4.110289573669434,0.9965763487887381,4.422107934951782
3,0.9965900160590426,3.9649150371551514,0.9965809045455063,4.269710302352905
4,0.996412341545085,4.825774431228638,0.996538763795401,4.408726334571838
5,0.9966378515051082,5.855377197265625,0.9965585813373424,4.6980565071105955
6,0.996412341545085,4.111899137496948,0.9965342080386329,4.600363612174988
7,0.9967061878566303,5.619367837905884,0.9965587765840611,4.745935644422259
8,0.9967540233026959,6.612715005874634,0.9965831824238904,4.9792830646038055
9,0.9963986742747805,3.989035129547119,0.9965626815184339,4.8692555162641735
10,0.9967676905730003,4.0051891803741455,0.9965831824238904,4.782848882675171
11,0.9967198551269347,5.133457899093628,0.9965956072150763,4.814722429622304
12,0.996323504288106,3.331935167312622,0.9965729319711621,4.69115682442983
13,0.9968155260190659,7.450239658355713,0.9965915930517701,4.903393965501052
14,0.9965011788020638,3.8263039588928223,0.9965851348910768,4.826458965029035
15,0.9966105169644993,12.857810020446777,0.996586827029305,5.361882368723552
16,0.9972187104930468,9.219808578491211,0.9966263197457887,5.60300275683403
17,0.9967198551269347,15.236436128616333,0.9966318218270326,6.169675308115342
18,0.9967471896675436,10.182923316955566,0.9966382311515054,6.392633530828688
19,0.996665186045717,6.2559733390808105,0.9966396498301482,6.3854408891577465
20,0.9968018587487614,3.9555201530456543,0.9966477602760788,6.263944852352142
21,0.9967813578433048,4.933220148086548,0.9966541220649943,6.200577009291876
22,0.9965216797075204,4.835225343704224,0.9966481019578364,6.138515569946983
23,0.9963918406396283,4.50507664680481,0.9966369601613926,6.0674964863321055
24,0.9968360269245224,5.021610498428345,0.9966452546098564,6.023917903502782
25,0.9964601769911504,3.9973719120025635,0.9966378515051082,5.942856063842774
26,0.9965900160590426,4.89673113822937,0.9966360116802595,5.90262048978072
27,0.9964260088153893,4.546337604522705,0.9966282337963754,5.852387790326719
28,0.9968565278299791,4.445339202880859,0.9966363871547185,5.802136055060795
29,0.9964055079099327,4.904033422470093,0.9966284258014501,5.771166998764564
30,0.9966378515051082,4.311324834823608,0.996628739991572,5.722505593299866
31,0.9967403560323914,6.839226722717285,0.9966323405090177,5.758528855539137
32,0.9967745242081525,4.78995943069458,0.9966367837496156,5.728261061012745
33,0.9967471896675436,6.781658172607422,0.9966401293834921,5.760182185606523
34,0.9964875115317593,5.136304140090942,0.9966356406231471,5.741832831326653
35,0.9966720196808693,3.423858880996704,0.9966366800247964,5.675605004174368
36,0.9970957050603069,5.0826637744903564,0.9966494307202274,5.659134414460924
37,0.9966583524105648,4.4041924476623535,0.9966496718469932,5.625217064006908
38,0.9964875115317593,3.455688714981079,0.9966454044702765,5.568124212716755
39,0.9965695151535859,3.9303879737854004,0.9966434585903615,5.526130975821079
40,0.9965421806129771,5.319506406784058,0.9966409266409265,5.520965361595154
41,0.996726688762087,5.570676565170288,0.9966430183999793,5.5221778299750355
42,0.9967403560323914,5.358508825302124,0.9966453359626557,5.518280948911395
43,0.9965900160590426,5.54899525642395,0.9966440494532693,5.518995235132617
44,0.9966788533160215,5.214750289916992,0.9966448404501501,5.512080577286807
45,0.9966993542214782,4.586135625839233,0.9966460518672906,5.491504022810195
46,0.996603683329347,6.026115417480469,0.9966451308121179,5.5031260096508525
47,0.9968360269245224,5.516027927398682,0.9966491924315307,5.503400518539104
48,0.9965695151535859,5.259424924850464,0.9966475324882405,5.49831769367059
